Route,RouteInstance,Day,Direction,Stop,Time
74,1,Saturday,Outbound,Shops at Ithaca Mall @ Sears,7:30AM
74,1,Saturday,Outbound,Freeville Village,7:45AM
74,1,Saturday,Outbound,Groton Express Mart,7:55AM
74,2,Saturday,Outbound,Shops at Ithaca Mall @ Sears,1:10PM
74,2,Saturday,Outbound,Hanshaw @ Warren,1:15PM
74,2,Saturday,Outbound,Winston Ct.,1:18PM
74,2,Saturday,Outbound,Pinckney @ Lower Creek,1:28PM
74,2,Saturday,Outbound,Etna Mills Apartments,1:31PM
74,2,Saturday,Outbound,Freeville Village,1:35PM
74,2,Saturday,Outbound,Groton Express Mart,1:45PM
74,3,Saturday,Outbound,Shops at Ithaca Mall @ Sears,7:30PM
74,3,Saturday,Outbound,Hanshaw @ Warren,7:35PM
74,3,Saturday,Outbound,Winston Ct.,7:38PM
74,3,Saturday,Outbound,Pinckney @ Lower Creek,7:48PM
74,3,Saturday,Outbound,Etna Mills Apartments,7:51PM
74,3,Saturday,Outbound,Freeville Village,7:55PM
74,3,Saturday,Outbound,Groton Express Mart,8:05PM
74,1,Saturday,Inbound,Groton Express Mart,7:58AM
74,1,Saturday,Inbound,Freeville Park-n-Ride,8:10AM
74,1,Saturday,Inbound,Etna Mills Apartments,8:14AM
74,1,Saturday,Inbound,Pinckney @ Lower Creek,8:17AM
74,1,Saturday,Inbound,Winston Ct.,8:27AM
74,1,Saturday,Inbound,Hanshaw @ Warren,8:30AM
74,1,Saturday,Inbound,Shops at Ithaca Mall @ Sears,8:39AM
74,2,Saturday,Inbound,Groton Express Mart,1:48PM
74,2,Saturday,Inbound,Freeville Park-n-Ride,2:00PM
74,2,Saturday,Inbound,Etna Mills Apartments,2:04PM
74,2,Saturday,Inbound,Pinckney @ Lower Creek,2:07PM
74,2,Saturday,Inbound,Winston Ct.,2:17PM
74,2,Saturday,Inbound,Hanshaw @ Warren,2:20PM
74,2,Saturday,Inbound,Shops at Ithaca Mall @ Sears,2:29PM
74,3,Saturday,Inbound,Groton Express Mart,8:08PM
74,3,Saturday,Inbound,Freeville Park-n-Ride,8:20PM
74,3,Saturday,Inbound,Etna Mills Apartments,8:24PM
74,3,Saturday,Inbound,Pinckney @ Lower Creek,8:27PM
74,3,Saturday,Inbound,Winston Ct.,8:37PM
74,3,Saturday,Inbound,Hanshaw @ Warren,8:40PM
74,3,Saturday,Inbound,Shops at Ithaca Mall @ Sears,8:49PM
74,1,Sunday,Outbound,Green @ Commons,7:15AM
74,1,Sunday,Outbound,Shops at Ithaca Mall @ Sears,7:30AM
74,1,Sunday,Outbound,Freeville Village,7:45AM
74,1,Sunday,Outbound,Groton Express Mart,7:55AM
74,2,Sunday,Outbound,Shops at Ithaca Mall @ Sears,11:30AM
74,2,Sunday,Outbound,Hanshaw @ Warren,11:35AM
74,2,Sunday,Outbound,Winston Ct.,11:38AM
74,2,Sunday,Outbound,Pinckney @ Lower Creek,11:48AM
74,2,Sunday,Outbound,Etna Mills Apartments,11:51AM
74,2,Sunday,Outbound,Freeville Village,11:55AM
74,2,Sunday,Outbound,Groton Express Mart,12:05PM
74,3,Sunday,Outbound,Shops at Ithaca Mall @ Sears,3:35PM
74,3,Sunday,Outbound,Hanshaw @ Warren,3:40PM
74,3,Sunday,Outbound,Winston Ct.,3:43PM
74,3,Sunday,Outbound,Pinckney @ Lower Creek,3:53PM
74,3,Sunday,Outbound,Etna Mills Apartments,3:56PM
74,3,Sunday,Outbound,Freeville Village,4:00PM
74,3,Sunday,Outbound,Groton Express Mart,4:10PM
74,1,Sunday,Inbound,Groton Express Mart,7:58AM
74,1,Sunday,Inbound,Freeville Park-n-Ride,8:10AM
74,1,Sunday,Inbound,Etna Mills Apartments,8:14AM
74,1,Sunday,Inbound,Pinckney @ Lower Creek,8:17AM
74,1,Sunday,Inbound,Winston Ct.,8:27AM
74,1,Sunday,Inbound,Hanshaw @ Warren,8:30AM
74,1,Sunday,Inbound,Shops at Ithaca Mall @ Sears,8:39AM
74,1,Sunday,Inbound,Green @ Commons,8:54AM
74,2,Sunday,Inbound,Groton Express Mart,12:08PM
74,2,Sunday,Inbound,Freeville Park-n-Ride,12:20PM
74,2,Sunday,Inbound,Etna Mills Apartments,12:24PM
74,2,Sunday,Inbound,Pinckney @ Lower Creek,12:27PM
74,2,Sunday,Inbound,Winston Ct.,12:37PM
74,2,Sunday,Inbound,Hanshaw @ Warren,12:40PM
74,2,Sunday,Inbound,Shops at Ithaca Mall @ Sears,12:49PM
74,3,Sunday,Inbound,Groton Express Mart,4:13PM
74,3,Sunday,Inbound,Freeville Park-n-Ride,4:25PM
74,3,Sunday,Inbound,Etna Mills Apartments,4:29PM
74,3,Sunday,Inbound,Pinckney @ Lower Creek,4:32PM
74,3,Sunday,Inbound,Winston Ct.,4:42PM
74,3,Sunday,Inbound,Hanshaw @ Warren,4:45PM
74,3,Sunday,Inbound,Shops at Ithaca Mall @ Sears,4:54PM
82,4,Monday - Friday,South,A Lot,7:00AM
82,4,Monday - Friday,South,Hasbrouck Apts.,7:04AM
82,4,Monday - Friday,South,Uris Hall,7:10AM
82,4,Monday - Friday,South,Boyce-Thompson Institute,7:17AM
82,4,Monday - Friday,South,East Hill Office Building Across Street,7:24AM
82,4,Monday - Friday,South,East Hill Plaza,7:26AM
82,5,Monday - Friday,South,A Lot,7:10AM
82,5,Monday - Friday,South,Hasbrouck Apts.,7:14AM
82,5,Monday - Friday,South,Uris Hall,7:20AM
82,5,Monday - Friday,South,Boyce-Thompson Institute,7:27AM
82,5,Monday - Friday,South,East Hill Office Building Across Street,7:34AM
82,5,Monday - Friday,South,East Hill Plaza,7:36AM
82,6,Monday - Friday,South,A Lot,7:20AM
82,6,Monday - Friday,South,Hasbrouck Apts.,7:24AM
82,6,Monday - Friday,South,Uris Hall,7:30AM
82,6,Monday - Friday,South,Boyce-Thompson Institute,7:37AM
82,6,Monday - Friday,South,East Hill Office Building Across Street,7:44AM
82,6,Monday - Friday,South,East Hill Plaza,7:46AM
82,7,Monday - Friday,South,A Lot,7:30AM
82,7,Monday - Friday,South,Hasbrouck Apts.,7:34AM
82,7,Monday - Friday,South,Uris Hall,7:40AM
82,7,Monday - Friday,South,Boyce-Thompson Institute,7:47AM
82,7,Monday - Friday,South,East Hill Office Building Across Street,7:54AM
82,7,Monday - Friday,South,East Hill Plaza,7:56AM
82,8,Monday - Friday,South,Hasbrouck Apts.,7:43AM
82,8,Monday - Friday,South,Uris Hall,7:49AM
82,8,Monday - Friday,South,Boyce-Thompson Institute,7:56AM
82,8,Monday - Friday,South,East Hill Office Building Across Street,8:03AM
82,8,Monday - Friday,South,East Hill Plaza,8:05AM
82,9,Monday - Friday,South,Hasbrouck Apts.,7:53AM
82,9,Monday - Friday,South,Uris Hall,7:59AM
82,9,Monday - Friday,South,Boyce-Thompson Institute,8:06AM
82,9,Monday - Friday,South,East Hill Office Building Across Street,8:13AM
82,9,Monday - Friday,South,East Hill Plaza,8:15AM
82,10,Monday - Friday,South,Hasbrouck Apts.,8:03AM
82,10,Monday - Friday,South,Uris Hall,8:09AM
82,10,Monday - Friday,South,Boyce-Thompson Institute,8:16AM
82,10,Monday - Friday,South,East Hill Office Building Across Street,8:23AM
82,10,Monday - Friday,South,East Hill Plaza,8:25AM
82,11,Monday - Friday,South,Hasbrouck Apts.,8:13AM
82,11,Monday - Friday,South,Uris Hall,8:19AM
82,11,Monday - Friday,South,Boyce-Thompson Institute,8:26AM
82,11,Monday - Friday,South,East Hill Office Building Across Street,8:33AM
82,11,Monday - Friday,South,East Hill Plaza,8:35AM
82,12,Monday - Friday,South,Hasbrouck Apts.,8:23AM
82,12,Monday - Friday,South,Uris Hall,8:29AM
82,12,Monday - Friday,South,Boyce-Thompson Institute,8:36AM
82,12,Monday - Friday,South,East Hill Office Building Across Street,8:43AM
82,12,Monday - Friday,South,East Hill Plaza,8:45AM
82,13,Monday - Friday,South,Hasbrouck Apts.,8:33AM
