Stop,Route,Day,Direction,Time
Green @ Commons,17,Weekdays,Inbound,5:28AM
Green @ Commons,52,Weekdays,Outbound,5:38AM
Green @ Commons,17,Weekdays,Inbound,5:38AM
Green @ Commons,17,Weekdays,Inbound,5:53AM
Green @ Commons,30,Weekdays,Outbound,6:00AM
Green @ Commons,14,Weekdays,Outbound,6:00AM
Green @ Commons,17,Weekdays,Inbound,6:00AM
Green @ Commons,43,Weekdays,Outbound,6:15AM
Green @ Commons,67,Weekdays,Inbound,6:15AM
Green @ Commons,17,Weekdays,Inbound,6:15AM
Green @ Commons,17,Weekdays,Inbound,6:16AM
Green @ Commons,40,Weekdays,Outbound,6:16AM
Green @ Commons,17,Weekdays,Inbound,6:18AM
Green @ Commons,52,Weekdays,Outbound,6:18AM
Green @ Commons,17,Weekdays,Inbound,6:23AM
Green @ Commons,37,Weekdays,Outbound,6:28AM
Green @ Commons,17,Weekdays,Inbound,6:28AM
Green @ Commons,17,Weekdays,Inbound,6:30AM
Green @ Commons,30,Weekdays,Outbound,6:30AM
Green @ Commons,17,Weekdays,Inbound,6:33AM
Green @ Commons,17,Weekdays,Inbound,6:35AM
Green @ Commons,51,Weekdays,Outbound,6:35AM
Green @ Commons,20,Weekdays,Outbound,6:35AM
Green @ Commons,17,Weekdays,Inbound,6:36AM
Green @ Commons,40,Weekdays,Outbound,6:36AM
Green @ Commons,52,Weekdays,Inbound,6:38AM
Green @ Commons,17,Weekdays,Inbound,6:40AM
Green @ Commons,43,Weekdays,Outbound,6:40AM
Green @ Commons,36, Monday-Friday AM,Outbound,6:45AM
Green @ Commons,17,Weekdays,Inbound,6:45AM
Green @ Commons,17,Weekdays,Inbound,6:53AM
Green @ Commons,52,Weekdays,Outbound,6:53AM
Green @ Commons,43,EXPRESS Weekdays,Outbound,6:55AM
Green @ Commons,17,Weekdays,Inbound,6:55AM
Green @ Commons,13,Monday - Friday,Inbound,6:57AM
Green @ Commons,14,Weekdays,Inbound,6:58AM
Green @ Commons,30,Weekdays,Outbound,7:00AM
Green @ Commons,17,Weekdays,Inbound,7:00AM
Green @ Commons,30,Weekdays,Inbound,7:00AM
Green @ Commons,31,Weekdays,Loop,7:00AM
Green @ Commons,14,Weekdays,Outbound,7:00AM
Green @ Commons,21,Weekdays,Inbound,7:00AM
Green @ Commons,17,Weekdays,Inbound,7:04AM
Green @ Commons,37,Weekdays,Outbound,7:04AM
Green @ Commons,17,Weekdays,Inbound,7:05AM
Green @ Commons,20,Weekdays,Outbound,7:05AM
Green @ Commons,53,Morning Weekdays,Loop,7:07AM
